,姓名,成績,速度,十公尺速度
15,林志成,5.38,3.38,2.69
23,林志成,4.95,4.22,2.37
2,林志成,5.12,4.33,2.31
20,林志成,5.1,4.33,2.31
21,林志成,4.7,4.33,2.31
0,林志成,4.95,4.45,2.25
1,林志成,4.75,4.45,2.25
3,林志成,4.8,4.45,2.25
4,林志成,5.25,4.45,2.25
5,林志成,5.05,4.45,2.25
6,林志成,5.12,4.45,2.25
7,林志成,5.05,4.45,2.25
8,林志成,5.13,4.45,2.25
9,林志成,4.75,4.45,2.25
10,林志成,5.1,4.45,2.25
11,林志成,4.85,4.45,2.25
12,林志成,5,4.45,2.25
13,林志成,4.75,4.45,2.25
14,林志成,5.05,4.45,2.25
16,林志成,5.05,4.45,2.25
18,林志成,5.25,4.45,2.25
19,林志成,4.8,4.48,2.23
22,林志成,5.1,4.48,2.23
17,林志成,5,4.89,2.04
